player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos,player_tier
Anthony Davis,Kentucky,SEC,40,80.1,133.8,19.1,62.8,65.41,11.6,23.9,7.5,10,144,203,0.709,207,317,0.653,3,20,0.15,13.7,2.5,60.2,Fr,10-Jun,23,6.07485,139.015,2.4,2012,22364,all,100,1.21951222,152,174,55,143,0.8736,0.3846,96,98,0.9796,1,79.63,75.7599,5.62176,360.572,17.668,7.54963,10.1184,16.6573,32.025,9.09614,7.56117,2.975,7.4,10.375,1.25,1.35,4.65,14.175,C,1
Damian Lillard,Weber St.,BSky,30,87.2,122.3,32.3,54.5,62.11,1.9,14.1,28,12,215,243,0.885,129,256,0.504,86,217,0.396,0.7,2.5,51.4,Jr,02-Jun,1,6.50902,138.152,2.3,2012,4509,all,57.4,1.78260869,98,169,31,87,0.5799,0.3563,13,17,0.7647,6,101.836,103.535,2.75997,200.205,8.16164,8.79872,-0.637082,9.76622,35.3,9.05933,0.706884,0.5333,4.2667,4.8,4.1,1.5,0.2333,24.3667,Scoring PG,1
James Harden,Arizona St.,P10,35,88.3,112.8,32.6,55.3,60.66,5.5,14.6,29.2,19,204,270,0.756,163,289,0.564,58,163,0.356,1.1,3.1,59.7,So,05-Jun,,6.47615,137.102,3.2,2009,3638,all,97.4,1.25425636,,,,,,,,,,3,95.6385,89.5229,4.50387,234.839,10.3738,7.16968,3.20412,9.8125,35.8286,6.88906,2.92344,1.3714,4.2,5.5714,4.2286,1.6857,0.3143,20.1143,Scoring PG,1
Jayson Tatum,Duke,ACC,29,65.3,108.9,25.4,50.7,56.61,4.9,19.7,12.4,17.7,118,139,0.849,125,248,0.504,40,117,0.342,3.2,2.3,38.1,Fr,08-Jun,0,4.29884,124.125,3.6,2017,45563,all,99.4,0.81577449,79,126,46,122,0.627,0.377,18,21,0.8571,3,96.6201,89.1819,4.59476,209.644,6.47515,3.17569,3.29946,6.71227,33.3103,4.14057,2.5717,1.3448,6,7.3448,2.1379,1.3448,1.1379,16.8276,Wing F,1
Joel Embiid,Kansas,B12,28,45.9,112,24.4,62.9,65.5,12.7,27.3,11.5,24.1,98,143,0.685,106,166,0.639,1,5,0.2,11.7,2.3,83.6,Fr,Jul-00,21,2.99109,125.154,5.8,2014,31621,all,97.4,0.57574986,80,99,25,65,0.8081,0.3846,30,30,1,3,90.0859,83.519,3.6851,176.276,12.7402,3.37781,9.36236,10.5965,23.1071,4.24577,6.35075,2.3214,5.7857,8.1071,1.3571,0.8929,2.5714,11.1786,C,1
Kawhi Leonard,San Diego St.,MWC,34,79.6,108.7,27.7,46.3,50.78,11.4,25.9,16.4,15.1,110,145,0.759,175,371,0.472,23,81,0.284,1.9,2.8,32.1,So,06-Jun,15,4.36317,123.31,3.1,2011,13395,all,88.8,1.15998007,78,98,97,272,0.7959,0.3566,19,19,1,15,85.3916,81.558,5.15728,263.03,8.2352,3.75988,4.47532,8.27578,33,5.00299,3.27279,3.1765,7.5294,10.7059,2.5588,1.4706,0.5882,15.5588,PF/C,1
Paul George,Fresno St.,WAC,28,72.6,105.6,27.3,51,57.22,6.8,18.6,22.6,20.8,110,122,0.902,92,188,0.489,58,163,0.356,3,3.9,34.8,So,08-Jun,24,3.6053,115.82,3.5,2010,5903,all,61.6,0.96627442,70,106,22,82,0.6604,0.2683,18,22,0.8182,10,94.6435,92.7156,3.89014,210.186,6.68486,3.41633,3.26852,6.74572,33.1786,4.41774,2.32799,1.9286,5.2857,7.2143,3.0714,2.1429,0.8571,16.7143,Wing F,1
Stephen Curry,Davidson,SC,33,82.1,118,37.5,54.9,60.46,1.8,12.3,39.8,16.6,212,241,0.88,176,340,0.518,127,327,0.388,0.7,3.9,36.1,Jr,03-Jun,,6.66086,141.028,2.8,2009,1827,all,49,1.43198081,,,,,,,,,,7,89.1128,88.3785,4.44618,253.62,12.3076,9.67838,2.62918,15.279,33.8182,10.7909,4.48812,0.5758,3.9091,4.4848,5.4242,2.3333,0.2121,28.6364,Scoring PG,1
Blake Griffin,Oklahoma,B12,35,80.6,117.6,31.1,65.7,64.77,14.2,32.2,16.3,18.2,191,324,0.59,297,451,0.659,3,8,0.375,3.6,1.9,70.6,So,10-Jun,,6.39363,139.82,3.1,2009,2804,all,97,0.6896479,,,,,,,,,,1,87.4256,82.5913,5.02664,316.56,11.3401,6.90629,4.43384,12.3844,33.2857,9.59816,2.78622,3.8571,10.5429,14.4,2.2857,1.1143,1.1714,22.6857,PF,2
DeMar DeRozan,USC,P10,35,82.8,108.2,22.3,53.1,55.51,9.3,11.6,9.6,17.1,95,147,0.646,186,331,0.562,6,36,0.167,1.2,1.6,40.1,Fr,07-Jun,,3.64464,115.966,2.5,2009,5417,all,99,0.69861438,,,,,,,,,,9,99.6449,91.3877,4.01033,189.502,4.60647,3.24057,1.3659,4.94133,33.3714,3.50114,1.44019,2.4,3.3429,5.7429,1.4571,0.8857,0.3714,13.8571,Wing F,2
